iter	RMSE
0	7.061656886
1	6.615092379
2	6.190660662
3	5.7668243
4	5.393165267
5	5.083993009
6	4.779794257
7	4.502497244
8	4.230527178
9	3.984291238
10	3.754527789
11	3.541157395
12	3.344482313
13	3.157662128
14	2.975996176
15	2.806506322
16	2.649279056
17	2.512544643
18	2.402327416
19	2.307795639
20	2.193009864
21	2.084687911
22	1.991278691
23	1.899224196
24	1.811301139
25	1.736294636
26	1.658851638
27	1.600908701
28	1.543300933
29	1.497194853
30	1.440097632
31	1.397567493
32	1.350111072
33	1.318498727
34	1.287205894
35	1.253577463
36	1.222653887
37	1.187830421
38	1.153850404
39	1.132598756
40	1.103053768
41	1.076265583
42	1.054962445
43	1.034763976
44	1.013461174
45	0.9969363572
46	0.9796766997
47	0.9714691513
48	0.9590994251
49	0.9471682613
50	0.9367349581
51	0.9252655419
52	0.9138959202
53	0.902773087
54	0.8926574845
55	0.8875229603
56	0.8774071288
57	0.8679196239
58	0.8601565487
59	0.8548651872
60	0.8493437252
61	0.8426097096
62	0.8349826051
63	0.8330596719
64	0.8265870543
65	0.8205415136
66	0.8164029021
67	0.8106318567
68	0.8050642199
69	0.8013223596
70	0.7963477721
71	0.7921024266
72	0.7886147368
73	0.7878507354
74	0.7864599015
75	0.7858719035
76	0.7838765555
77	0.7803313431
78	0.7791729417
79	0.7788645867
80	0.7751784022
81	0.7720196078
82	0.7690463285
83	0.7667055538
84	0.7640170907
85	0.7611936045
86	0.7588284254
87	0.7567842797
88	0.7546007562
89	0.7522872274
90	0.7501005957
91	0.7480325464
92	0.7465344559
93	0.7453804326
94	0.7435408776
95	0.7425115004
96	0.7410218923
97	0.7394038623
98	0.7378707241
99	0.7364172518
100	0.7350386075
101	0.7338811893
102	0.7326276484
103	0.7315417842
104	0.7304034383
105	0.7293218546
106	0.7282937932
107	0.7273162345
108	0.7263863614
109	0.7255015431
110	0.7246593203
111	0.7238573916
112	0.7230936016
113	0.7223659296
114	0.7216724795
115	0.7210114709
116	0.7203812302
117	0.7197801833
118	0.7192068484
119	0.7186598298
120	0.7181378117
121	0.7176395528
122	0.7171638815
123	0.7167096914
124	0.7162759366
125	0.7158616284
126	0.7154658312
127	0.7150876594
128	0.7147262746
129	0.714380882
130	0.7140507284
131	0.7137350996
132	0.7134333179
133	0.7131447401
134	0.7128687557
135	0.7126047846
136	0.7123522758
137	0.7121107057
138	0.7118795762
139	0.7116584138
140	0.7114467682
141	0.7112442106
142	0.711050333
143	0.7108647471
144	0.7106870829
145	0.710516988
146	0.7103541269
147	0.7101981795
148	0.7100488411
149	0.7099058208
150	0.7097688415
151	0.7096376389
152	0.7095119607
153	0.7093915664
154	0.7092762265
155	0.7091657217
156	0.7090598429
157	0.7089583905
158	0.7088611737
159	0.7087680106
160	0.7086787272
161	0.7085931574
162	0.7085111424
163	0.7084325305
164	0.708357177
165	0.7082849432
166	0.7082156968
167	0.7081493112
168	0.7080856653
169	0.7080246435
170	0.7079661351
171	0.7079100343
172	0.7078562398
173	0.7078046548
174	0.7077551868
175	0.7077077469
176	0.7076622506
177	0.7076186165
178	0.707576767
179	0.7075366278
